Incident Type,Creation Date,Response Time,Year,Week,Day
Law Enforcement-Suspicious Package,2011-05-06 00:00:00,42.0,2011,2011-18,126
Law Enforcement-Suspicious Package,2011-05-06 00:00:00,67.0,2011,2011-18,126
Law Enforcement-Suspicious Package,2011-05-08 22:57:10,59.0,2011,2011-19,128
Law Enforcement-Explosion,2011-05-11 00:00:00,79.0,2011,2011-19,131
Law Enforcement-Suspicious Package,2011-05-12 00:00:00,74.0,2011,2011-19,132
Law Enforcement-Suspicious Package,2011-05-14 00:00:00,23.0,2011,2011-19,134
Law Enforcement-Suspicious Package,2011-05-18 00:00:00,35.0,2011,2011-20,138
Law Enforcement-Suspicious Package,2011-05-24 00:00:00,133.0,2011,2011-21,144
Law Enforcement-Suspicious Package,2011-06-06 00:00:00,77.0,2011,2011-23,157
Law Enforcement-Suspicious Package,2011-06-14 00:00:00,100.0,2011,2011-24,165
Law Enforcement-Suspicious Package,2011-07-26 00:00:00,14.0,2011,2011-30,207
Law Enforcement-Suspicious Package,2011-07-28 00:00:00,73.0,2011,2011-30,209
Law Enforcement-Suspicious Package,2011-08-01 00:00:00,88.0,2011,2011-31,213
Law Enforcement-Suspicious Package,2011-08-02 00:00:00,26.0,2011,2011-31,214
Law Enforcement-Suspicious Package,2011-08-05 00:00:00,38.0,2011,2011-31,217
Law Enforcement-Device,2011-08-11 00:00:00,25.0,2011,2011-32,223
Law Enforcement-Suspicious Package,2011-08-23 00:00:00,47.0,2011,2011-34,235
Law Enforcement-Suspicious Package,2011-08-29 00:00:00,50.0,2011,2011-35,241
Law Enforcement-Suspicious Package,2011-08-30 00:00:00,74.0,2011,2011-35,242
Law Enforcement-Suspicious Package,2011-09-01 00:00:00,77.0,2011,2011-35,244
Law Enforcement-Device,2011-09-01 00:00:00,38.0,2011,2011-35,244
Law Enforcement-Suspicious Package,2011-09-02 00:00:00,11.0,2011,2011-35,245
Law Enforcement-Device,2011-09-07 00:00:00,16.0,2011,2011-36,250
Law Enforcement-Suspicious Package,2011-09-09 00:00:00,45.0,2011,2011-36,252
Law Enforcement-Suspicious Package,2011-09-11 00:00:00,83.0,2011,2011-37,254
Law Enforcement-Suspicious Package,2011-09-16 00:00:00,67.0,2011,2011-37,259
Law Enforcement-Suspicious Package,2011-09-19 00:00:00,67.0,2011,2011-38,262
Law Enforcement-Suspicious Package,2011-09-19 00:00:00,4000.0,2011,2011-38,262
Law Enforcement-Suspicious Package,2011-09-20 00:00:00,39.0,2011,2011-38,263
Law Enforcement-Suspicious Package,2011-09-21 00:00:00,7.0,2011,2011-38,264
Law Enforcement-Suspicious Package,2011-09-23 00:00:00,30.0,2011,2011-38,266
Law Enforcement-Suspicious Package,2011-09-26 00:00:00,55.0,2011,2011-39,269
Law Enforcement-Haz Mat,2011-09-27 00:00:00,115.0,2011,2011-39,270
Law Enforcement-Civil Unrest,2011-10-01 00:00:00,4000.0,2011,2011-39,274
Law Enforcement-Suspicious Package,2011-10-04 00:00:00,36.0,2011,2011-40,277
Law Enforcement-Device,2011-10-10 00:00:00,52.0,2011,2011-41,283
Law Enforcement-Suspicious Package,2011-10-21 00:00:00,51.0,2011,2011-42,294
Law Enforcement-Jumper Up,2011-10-22 00:00:00,184.0,2011,2011-42,295
Law Enforcement-Bomb Threat,2011-10-26 00:00:00,166.0,2011,2011-43,299
Law Enforcement-Device,2011-11-01 00:00:00,214.0,2011,2011-44,305
Law Enforcement-Suspicious Package,2011-11-02 00:00:00,47.0,2011,2011-44,306
Law Enforcement-Found Grenade,2011-11-03 00:00:00,32.0,2011,2011-44,307
Law Enforcement-Suspicious Package,2011-11-05 00:00:00,42.0,2011,2011-44,309
Law Enforcement-Suspicious Package,2011-11-06 00:00:00,40.0,2011,2011-45,310
